trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-119.44652346377659,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-129.2389612683069,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-106.85867347191216,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-69.70217251469995,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-114.02235080871039,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-68.12508033980193,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-174.8317310360008,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-66.73423750889141,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-58.86082780609562,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,9,8.74803203950258,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-72.07824331938701,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-24.850766618496454,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,10,-7.387303155776299,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,24.640822458692675,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-4.639447610231884,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,16.453793257089067,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,30.93424364634183,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-25.63630184895487,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,8,28.04845762482261,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,28.72460253777319,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",30,0,49.281145967719425,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,31.47043445779842,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,9,25.36143400573684,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,7,18.55327080058425,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,3,28.55780059132812,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,2,32.551005334699326,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,3,26.904751968015383,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,0,37.702311088081274,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",30,5,9.971666330938104,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,7,34.639439424031075,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
