trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9048374180359595}",30,0,-215.16982160271218,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
2,False,"{'a': 0.05, 'e': 0.8187307530779818}",30,0,-123.59995617765038,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.7408182206817179}",35,0,-216.403269810397,"{0: 22, 1: 3, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.05, 'e': 0.6703200460356393}",25,0,-15.72015520970204,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.6065306597126334}",20,2,-37.99665791848152,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.05, 'e': 0.5488116360940264}",25,1,-5.277942974756849,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.05, 'e': 0.49658530379140947}",30,4,-31.66675462360014,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.05, 'e': 0.44932896411722156}",25,2,-15.19791816518367,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.05, 'e': 0.4065696597405991}",25,0,20.194571915799756,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.36787944117144233}",20,0,-14.412341825065823,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.33287108369807955}",20,0,-107.56726895123244,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
12,False,"{'a': 0.05, 'e': 0.301194211912202}",25,2,23.19413546638807,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.05, 'e': 0.2725317930340126}",20,9,21.071486178752377,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.05, 'e': 0.24659696394160643}",20,0,-3.3401079397082656,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.22313016014842982}",20,8,10.41693719643935,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.20189651799465538}",25,11,21.451673236429524,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.1826835240527346}",20,8,21.61269449973536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.05, 'e': 0.16529888822158653}",25,8,31.82239515939705,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.05, 'e': 0.14956861922263504}",20,10,18.963239135572508,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': 0.1353352832366127}",25,3,9.468511980350124,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.05, 'e': 0.1224564282529819}",35,19,5.688227078479868,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.05, 'e': 0.11080315836233387}",25,12,18.836970751299333,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.05, 'e': 0.1002588437228037}",25,11,14.954817092295746,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.05, 'e': 0.09071795328941247}",30,18,10.711876998917294,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.05, 'e': 0.0820849986238988}",20,9,-5.314279495637047,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.05, 'e': 0.07427357821433388}",20,8,21.88982413946463,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.05, 'e': 0.06720551273974976}",25,6,30.348181890075317,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.05, 'e': 0.06081006262521795}",20,9,20.08178445392942,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.05, 'e': 0.05502322005640721}",30,21,18.206660035978288,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.05, 'e': 0.049787068367863944}",25,11,25.669983763964293,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.05, 'e': 0.0450492023935578}",25,13,22.5211242192004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.05, 'e': 0.04076220397836621}",20,15,8.750317671795703,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.05, 'e': 0.036883167401239994}",35,21,26.1381703656586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.05, 'e': 0.033373269960326066}",20,8,21.1460630375989,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.05, 'e': 0.0301973834223185}",25,11,27.632281757138287,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.05, 'e': 0.02732372244729256}",20,11,18.141325272444934,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.05, 'e': 0.024723526470339388}",20,5,24.568024450597793,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.05, 'e': 0.02237077185616559}",25,13,22.563334440015144,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.05, 'e': 0.02024191144580438}",20,9,18.508954128132245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.05, 'e': 0.01831563888873418}",25,16,19.424062947246153,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.05, 'e': 0.016572675401761237}",20,2,27.390526103230883,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.05, 'e': 0.014995576820477703}",35,18,32.981465302778325,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.05, 'e': 0.013568559012200934}",30,8,36.394197118031826,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.05, 'e': 0.012277339903068436}",35,12,45.35438075953453,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
