trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,13,-20.88751503990639,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-276.3074394521004,"{0: 20, 1: 2, 2: 5, 3: 4, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.52052197406724,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.632553657254626,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.52060356485882,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,5,-130.72382230322165,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.86692485564262,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.54537832100367,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,8,-104.31107235852792,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.288452669521135,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.15462407890257,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.21225059040869,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.39082023237377,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.03646120624045,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.66961515197633,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.9656693452749,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.00283705558724,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.72209224657603,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,15,-78.08187217441679,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.90441114341542,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,8,-142.01306442068,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-73.26212073197428,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-214.9680042251472,"{0: 7, 1: 5, 2: 4, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,4,-105.55802510111833,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.94742812723368,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.9280316651512,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,6,-85.57119369256785,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.76177326680357,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.84354545830291,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,13,-115.23916884574743,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
